,question,operator
0,76 is 80% of what number?,Multiplication
1,80% of what number is 33.6?,Multiplication
2,9x3=?,Multiplication
3,40% of a = 60,Multiplication
4,find the area of a playground that is 20 m long and 15 m wide.,Multiplication
5,"how much interest will you have to pay for a credit card balance of $1074 that is 12 months overdue, if a 22% annual rate is charged?",Multiplication
6,"like 3% of 132, what is the easy way of finding the answer",Multiplication
7,2.5% of what number is 2?,Multiplication
8,The forecast for tomorrow says that there is a 37% chance of rain. Describe the complimentary event and predict its probability.,Subtraction
9,What is 224% OF 320?,Multiplication
10,20 is what percent of 25?,Multiplication
11,"27,000 x 9,000",Multiplication
12,"The area of a rectangle is 437 cm. If its length is 23 cm, what is its width?",Multiplication
13,A standard deck of 52 cards is shuffled and one card is drawn and then replaced 15 times. How many times could you expect to draw a black card.,Multiplication
14,what's 2+2?,Addition
15,"The Quans planted a circular flower garder with a diameter of 2.3 m in their backyard, What length of fence, to the nearest tenth of a metre, is needed to completely surround the garden?",Multiplication
16,"n x 50 = 5,000",Multiplication
17,30% of a number is 12,Multiplication
18,whats 12 divided by 0.05?,Division
19,Find: 41 out of 51 in percentage.,Division
20,What is 15% of 105?,Multiplication
21,32 is 40% of what number?,Multiplication
22,what percent of 80 is 96?,Multiplication
23,What percent is 1 in a million?,Division
24,5 042g - 2.075kg IN to grams,Subtraction
25,what's 9 times 9? 81,Multiplication
26,The mean of 25 quiz numbers is 73.69. Then every score in the sample receives a bonus of 4 bonus points. What is the new mean (after the bonus)?,Addition
27,what # is 92 % of 300,Multiplication
28,0.42 x6.8,Multiplication
29,"To find the simple interest on a loan for 1 year at 12.5%, multiply the amount of the loan by 0.125. What simple interest will you pay on a loan of $1,458 at 12.5% for 1 year?",Multiplication
30,"just working out a mathematical sum, am I right by saying the ratio of 240 is 12 or do I have to say it is 20.",Division
31,I need to know what 495.923 inches is when converted to feet?,Division
32,what is the ratio of 447 to 2643?,Division
33,"A man is walking away from a wall at a rate of 1 meter per second. There is a window in the wall at a height of 40 meters above the ground. When the man is 30 meters away from the building, at what rate is his distance from the window changing?",Subtraction
34,"I want to charge the middle amount of this for rent. There are 2 other bedrooms available for rent in my building that are all the same. One is going for 750 and the other for 1,000. So what would the middle amount be?",Division
35,What is 20% 0f 20?,Multiplication
36,_________ is 35% of 60?,Multiplication
37,Which fraction is equivalent to 25%? 5/6? 1/4? 3/4? 1/3?,Division
38,"On a 100 question test, 60 questions involve algebra and 20 questions are difficult. if 8 of the difficult questions involve algebra, how many of the questions that are not difficult do not involve algebra?",Subtraction
39,30 is 35% of what number?,Multiplication
40,The lowest temperature on a winter morning was -8F. Later that same day the temperature reached a high of 24F. By how many degrees Fahrenheit did the temperature increase?,Addition
41,One kilometer is equal to 1000 meters. What fractional part of a kilometer is 700 meters?,Division
42,What is 64% of 20?,Multiplication
43,If I own 405 shares in a company and there is a total of 600 shares in the company what percentage do I hold.,Division
44,A 42 inch-long guitar is 10.5-feet-long on a stadium screen.A drum is 21 inches wide. How wide is the image on the stadium screen?,Division
45,I got a 75/100 on a midterm and the midterm is worth 25% of the overall grade. 25% Participation. - 25% Essay. - 25% Final. - 25% Midterm. So how much of the 25% do I get applied to my grade if I got a 75/100 on the midterm.,Multiplication
46,square root question 5ö_25?,Multiplication
47,what is 60 percent of 2500?,Multiplication
48,How many years ago since 2011?,Subtraction
49,"If nC8 = nC7, find n",Subtraction
50,what percent is 200 out of 350?,Division
51,what is 10% of 39.99?,Multiplication
52,What percent of 50 is 130?,Multiplication
53,what is 19/25 as a percent?,Division
54,monthly income:? percent budgeted: 7 1/2%. amount budgeted: $240.,Multiplication
55,If 65% of C is 39. what is C?,Division
56,Find the number of 2 3/4 gallon cans which can be filled from a tank containing 90 3/4 gallons of oil.,Division
57,"how much is 85,000,000,000 divided by 200,000,000?",Division
58,"What is 7.5% of 280,000,000?",Multiplication
59,you need to calculate the circumference after being given the diameter so if its 10cm .,Multiplication
60,A parallelogram has a height of 3 m and a base of 6 m. What is its area?,Multiplication
61,You have made $3000 on the sale for your stock. the original cost of the stock was $15000? find the percentage of increase. A. 20% B. 10% C. 5% D. 3%,Division
62,log base(2) 5th root(2)? fraction form?,Division
63,Kit got 74/84 on the exam meaning that she earned 74 points out of 80 possible write the decimal equivalent t? Show work.,Division
64,What's 20% of $450?,Multiplication
65,"I got a 52 out of 60 on my last test, so what would my percent and letter grades be?",Division
66,"What is 4,000,000,000 minus 36,000,000?",Subtraction
67,"What do you divide by to find 5% of 200,000?",Multiplication
68,What is 7300 divided by 156?,Division
69,2 4/5 divided by 2 1/10?,Division
70,What is 20 percent of $75?,Multiplication
71,Identify the whole: what is 14% of 78? a. 78 b. 14 c. unknown d. cannot be determined from information given,Multiplication
72,"The label on a cereal box states the following:. -One serving of cereal contains 17 grams of carbohydrates.. -This number of grams is 6% of the maximum amount of carbohydrates that a person should eat in a day. . Based on this information, which of the following is closest to the maximum amount of carbohydrates that a person should eat in a day? . A. 1.02 grams. B. 2.83 grams. C. 102 grams. D. 283 grams.",Multiplication
73,"Estimate 6,235 + 2,505. use rounding?",Addition
74,What percentage is 225 of 265?,Division
75,How do you convert a number into a percent if the question was to find 36% out of 25?,Multiplication
76,What percent of 16 is 12.,Multiplication
77,"What is 38% of 2,000,000?",Multiplication
78,"If the measure of one acute angle of a right triangle is 55, then the measure of the other acute angle is? A.25 B.35 C.45 D.55 E.125",Subtraction
79,20% of what number is 10?,Multiplication
80,"An apartment building produces a net operating income of $34,000 per year. This $34,000 represents a 7% return. What did the building originally cost?",Multiplication
81,"what is 18 percent of 214,643.13?",Multiplication
82,20 is what % of 5000?,Multiplication
83,"What is the d value of the following arithmetic sequence? 27, 41, 55, 69, 83, 97-",Subtraction
84,log3 27-log9 9?,Subtraction
85,3570 is 42% of what number?,Multiplication
86,"1 km equivalent a 10,000 cm?",Multiplication
87,"What's 15 % of $145,000,00?",Multiplication
88,What is 20% of 80?,Multiplication
89,Express 7/4 as a percent.,Division
90,"If f(x) = x + 2, find the value of x if f(x) = 12.",Addition
