,phrase,sig_label
0,There are eggs in a,1
1,box. Janet has eggs in a,0
2,bag. Ashley takes eggs out of,1
3,Deborah has pencils. Jonathan has,1
4,pencils. Jonathan has pencils. If Jonathan,1
5,Carolyn has peanuts. Thomas has,1
6,Thomas has with peanuts. Thomas finds,1
7,Carolyn has peanuts. Thomas has,1
8,of bananas contains bananas. One banana,0
9,One banana costs How muchdo 98,1
10,$5.00. How muchdo bananas cost?,1
11,Timothy has oranges. Beverly has,1
12,oranges. Beverly has oranges. If Beverly,1
13,into groups of Randy has 2030,1
14,29. Randy has candies and 16,1
15,2030 candies and pencils. How many,0
16,Donna has stickers. Barbara has,1
17,stickers. Barbara has stickers. If Barbara,1
18,Dorothy removes peanuts from a,1
19,There were originally peanuts and 4,1
20,70 peanuts and cards in the,0
21,to the store times last month.,1
22,month. He buys tickets and 16,1
23,20 tickets and marbles each time,0
24,There are bottle caps in,1
25,a packageof 3. bottle caps are,1
26,a packageof 3. bottle caps are,1
27,Elizabeth is inviting friends to a,1
28,party. She has cookies and 7,1
29,4465 cookies and peices of candy.,0
30,Dorothy has stickers. Janet has,1
31,stickers. Janet has stickers. If Janet,1
32,of peanuts contains peanuts. One peanut,0
33,One peanut costs How much do,1
34,How much do peanuts cost?,1
35,Billy weighs pounds. Carolyn weighs,1
36,pounds. Carolyn weighs pounds. Julia weighs,1
37,pounds. Julia weighs pounds. How much,0
38,to the store times last month.,1
39,month. She buys peanuts and 17,1
40,34 peanuts and bananas each time,0
41,Sean has erasers. Michael has,0
42,Michael has with erasers. Michael finds,1
43,Michael finds another How many erasers,1
44,of blocks costs There are 3,0
45,$14.00. There are blocks in each,1
46,blocks are in packages?,1
47,Each child has apples and 15,1
48,93 apples and Skittles. If there,0
49,"If there are children, how many",1
50,Russell starts with pencils and 7,1
51,87 pencils and eggs. 40 are,0
52,and 7 eggs. are eaten by,1
53,into groups of Maria has 3864,1
54,56. Maria has cards and 15,1
55,3864 cards and bananas. How many,0
56,Janice has candies. Nathan has,1
57,candies. Nathan has candies. If Nathan,1
58,Christina collects erasers. Christina's father,1
59,father gives Christina more. Bridget has,1
60,more. Bridget has apples. How many,0
61,There are bananas in a,1
62,box. Jeffrey has bananas in a,0
63,bag. Jennifer takes bananas out of,1
64,There are crayons in a,1
65,a package of crayons are added,0
66,of eggs costs There are 3,0
67,$12.00. There are eggs in each,1
68,eggs are in packages?,1
69,Irene removes pencils from a,1
70,There were originally pencils and 16,1
71,35 pencils and cards in the,0
72,There are tickets in a,1
73,box. Patrick has tickets in a,0
74,bag. Kathleen takes tickets out of,1
75,of candies contains candies. One candy,0
76,One candy costs How much do,1
77,How much do candies cost?,1
78,into groups of Mark has 3003,1
79,77. Mark has eggs and 13,1
80,3003 eggs and blocks. How many,0
81,amuel has bottle caps. Harry,1
82,caps. Harry has bottle caps. He,0
83,caps. He loses How many bottle,1
84,Stephanie weighs pounds. Phillip weighs,1
85,pounds. Phillip weighs pounds. Maria weighs,1
86,pounds. Maria weighs pounds. How much,0
87,Douglas collects peanuts. Douglas's father,1
88,father gives Douglas more. Louis has,1
89,more. Louis has cards. How many,0
90,There are bottle caps in,1
91,a package of 13 bottle caps,0
92,package of 4. bottle caps are,1
93,to the store times last month.,1
94,month. He buys bottle caps and,1
95,bottle caps and erasers each time,0
96,Nicole has erasers. Susan gives,1
97,"Susan gives Nicole more. Later, Nicole",1
98,"Later, Nicole buys oranges at the",0
99,of tickets costs There are 52,0
100,$14.00. There are tickets in each,1
101,tickets are in packages?,1
102,of eggs contains eggs. One egg,0
103,One egg costs How much do,1
104,How much do eggs cost?,1
105,There are students and 1221,1
106,33 students and crayons. Each student,1
107,Each student has eggs. If the,0
108,Denise has bananas. Joshua has,1
109,bananas. Joshua has bananas. If Joshua,1
110,worked to earn Alan worked for,1
111,Alan worked for hours. If she,0
112,Alan worked for hours. If she,1
113,Diana earned working. Thomas works,1
114,store and earns per hour. If,0
115,"she worked for hours, how much",1
116,Judith has Steven gives $57.06,0
117,$10.00. Steven gives to Judith. If,1
118,Steven started with how much money,1
119,Julia spends on blocks. Joyce,1
120,blocks. Joyce buys blocks. Each block,0
121,Each block costs How many blocks,1
122,worked to earn Todd worked for,1
123,Todd worked for hours. If she,0
124,"If she earns per hour, how",1
125,Terry earns per hour working.,1
126,wants to earn to buy tickets.,0
127,"Terry worked for hours, how much",1
128,Justin has Marvin has $4.00.,1
129,$7.08. Marvin has Anthony has $10.00.,1
130,$4.00. Anthony has How much more,0
131,Clarence starts with and spends $5.00,1
132,$9.78 and spends on marbles. Wanda,1
133,marbles. Wanda spends on marbles. How,0
134,Paul starts with and spends $6.51,1
135,$43.00 and spends on apples. Jane,1
136,apples. Jane spends on apples. How,0
137,Emily has Sarah gives with,0
138,Sarah gives with to Emily. If,1
139,Sarah started with how much money,1
140,Each orange costs and each card,1
141,each card costs How much do,0
142,How much do oranges cost?,1
143,Kathryn has Irene gives with,0
144,Irene gives with to Kathryn. If,1
145,Irene started with how much money,1
146,Samuel has Cheryl gives with,0
147,Samuel has Cheryl gives with,1
148,Cheryl started with how much money,1
