,question,operation
0,What is the sum of the distinct prime factors of 2007?,Addition
1,76 is 80% of what number?,Multiplication
2,80% of what number is 33.6?,Multiplication
3,9x3=?,Multiplication
4,"if an angle has the measure of 60 degrees, what is the measure of the supplement.?",Subtraction
5,40% of a = 60,Multiplication
6,find the area of a playground that is 20 m long and 15 m wide.,Multiplication
7,"how much interest will you have to pay for a credit card balance of $1074 that is 12 months overdue, if a 22% annual rate is charged?",Multiplication
8,Taru surveyed 60 dentists and found that 48 favored the use of flouride toothpaste. Write a ratio to compare the number of dentists favoring the use of a flouride toothpaste to all dentists surveyed.,Division
9,10 is 30% of what number?,Multiplication
10,What percent of 8 is 20?,Multiplication
11,"like 3% of 132, what is the easy way of finding the answer",Multiplication
12,2.5% of what number is 2?,Multiplication
13,The forecast for tomorrow says that there is a 37% chance of rain. Describe the complimentary event and predict its probability.,Subtraction
14,"at the track meet, 80 students won ribbons. 48 of the ribbons were 1st place. What percent of the ribbons were 1st place?",Division
15,"When NH3 is prepared from 28 g N2 and excess H2, the theoretical yield of NH3 is 34 g. When this reaction is carried out in a given experiment, only 15 g is produced. What is the percentage yield? (Ignore significant figures for this problem.)",Division
16,What is 224% OF 320?,Multiplication
17,20 is what percent of 25?,Multiplication
18,"Orange county had an estimated population of 883,308 in the 2000 Florida census. Pinellas county had an estimated population of 903,502. What is the difference in population between the two countries?",Subtraction
19,"27,000 x 9,000",Multiplication
20,"The area of a rectangle is 437 cm. If its length is 23 cm, what is its width?",Multiplication
21,A standard deck of 52 cards is shuffled and one card is drawn and then replaced 15 times. How many times could you expect to draw a black card.,Multiplication
22,what's 2+2?,Addition
23,"The Quans planted a circular flower garder with a diameter of 2.3 m in their backyard, What length of fence, to the nearest tenth of a metre, is needed to completely surround the garden?",Multiplication
24,10 yards tall equals how many feet tall?,Multiplication
25,kelly spent 30 minutes in the afternoon waking her dog. What part of one hour did she spent walking her dog? write as fraction,Division
26,"n x 50 = 5,000",Multiplication
27,30% of a number is 12,Multiplication
28,a trapezoid has an area of 72 and height of 9. what is its median,Division
29,whats 12 divided by 0.05?,Division
30,What is the volume of a regular n-gon prism with a base area of 4.3 m2 and a height of 3m?,Multiplication
31,"How do you figure out these kind of problems: Find the area of the entire circle given the area S of the sector. S= 9.5 m squared, one angle measure of the cirle is 90 degrees",Multiplication
32,Find: 41 out of 51 in percentage.,Division
33,What is 15% of 105?,Multiplication
34,Area of a circle with radius of 3m.,Multiplication
35,111 is what percent of 1725?,Division
36,Find: 32 out of 38 in percentage.,Division
37,297 divided by 4 is about ?,Division
38,"Jogging shoes are on sale for $9.99. They were $18.95 before the sale. When they went on sale, Ed bought 2 pairs od size 8 1/2, 1 pair of yellow and the other red and white. How much did he pay for the shoes?",Multiplication
39,32 is 40% of what number?,Multiplication
40,"Jesse earned $37,800 one year and then received a 3.75% raise. How much did he make the next year?",Multiplication
41,what percent of 80 is 96?,Multiplication
42,If you have a product that is $178.00. What would 30% be?,Multiplication
43,What percent is 1 in a million?,Division
44,5 042g - 2.075kg IN to grams,Subtraction
45,"A company's 2006 revenue totaled 17,574,428. It costs totaled 14,283,502. What was the company's profit in 2006?",Subtraction
46,"The probability that a new advertising campaign will increase sales is assessed as being 0.80. The probability that the cost of developing the new ad campaign can be kept within the original budget allocation is 0.40. Assuming that the two events are independent, find the probability that the cost is kept within budget and the campaign will increase.",Multiplication
47,what's 9 times 9? 81,Multiplication
48,"A wheelchair ramp has a slope of 1/10. if its rise is 5 1/2 feet, what is its run?",Multiplication
49,The mean of 25 quiz numbers is 73.69. Then every score in the sample receives a bonus of 4 bonus points. What is the new mean (after the bonus)?,Addition
50,what # is 92 % of 300,Multiplication
51,how many feet are in 0.11 miles?,Multiplication
52,"Martha leaves home at 9 AM, bicycling at a rate of 24 miles per hour. Two hours later, john leaves, driving at a rate of 48 miles per hour. At what time will John catch up with Martha?",Multiplication
53,"I went pass the 200 pages (exactly 200 pages) to the end. Approximately 4,000 questions!!! Let's create a math problem with it. What is two times a hundred?",Multiplication
54,0.42 x6.8,Multiplication
55,"a letter representing a specific number that never changes is called.??? In the expression 7y, the multipliers 7 and y are called.??? Divison can be used to show that 7/40 can be written as a decimal",Division
56,"If $500.00 is 2% of an amount, what was the amount?? I just can't get the answer, and the formula would be nice too. So i have $500.00 they told me it was 2% of an annual wage. What is THAT wage?",Multiplication
57,"A jet from San Fran to Kansas City, a distance of 2550 km, at a speed of 800 km/h. Another jet going from KC to SF at 900 km/h. How long after take off will they meet?",Multiplication
58,"To find the simple interest on a loan for 1 year at 12.5%, multiply the amount of the loan by 0.125. What simple interest will you pay on a loan of $1,458 at 12.5% for 1 year?",Multiplication
59,"just working out a mathematical sum, am I right by saying the ratio of 240 is 12 or do I have to say it is 20.",Division
60,"How do you find the height of a triangle with coordinates: X:(2, 1) Y:(5, 3) Z:(7, 1)",Subtraction
61,mary is 20.0 years old and peter is 26.8 years old their ages corrected to nearest 1/10 years . find the least difference between thir ages.,Subtraction
62,What is the greatest common divisor of 118 and 116?,Subtraction
63,How many integers between 1 and 400 are multiples of 7?,Division
64,I am trying to work out 20% of 520.,Multiplication
65,what would 1.70 be as a percentage %17 or %170?,Multiplication
66,I need to know what 495.923 inches is when converted to feet?,Division
