,Unnamed: 0,question,noUnknowns,unknowns,noEquations,equations,operation,answers
0,0,What is the sum of the distinct prime factors of 2007?,1,s,1,s=3+223,Addition,226.0
1,1,76 is 80% of what number?,1,x,1,76=0.8*x,Multiplication,95.0
2,2,80% of what number is 33.6?,1,t,1,0.80*t=33.6,Multiplication,42.0
3,3,9x3=?,1,x,1,x=9*3,Multiplication,27.0
4,4,"if an angle has the measure of 60 degrees, what is the measure of the supplement.?",1,t,1,t=180-60,Subtraction,120.0
5,5,40% of a = 60,1,t,1,0.4*t=60,Multiplication,150.0
6,6,"Samantha has a denim skirt and a flowered skirt. She has 3 different colored shirts that are red, pink and white. The probability that she will wear a flowered skirt is?",1,x,1,x=1/2,Division,0.5
7,7,find the area of a playground that is 20 m long and 15 m wide.,1,x,1,x=20*15,Multiplication,300.0
8,8,"how much interest will you have to pay for a credit card balance of $1074 that is 12 months overdue, if a 22% annual rate is charged?",1,t,1,t=1074*0.22,Multiplication,236.28
9,9,Taru surveyed 60 dentists and found that 48 favored the use of flouride toothpaste. Write a ratio to compare the number of dentists favoring the use of a flouride toothpaste to all dentists surveyed.,1,x,1,x=48/60,Division,0.8
10,10,10 is 30% of what number?,1,x,1,10=x*0.3,Multiplication,33.333
11,11,What percent of 8 is 20?,1,t,1,8*t=20,Multiplication,2.5
12,12,"like 3% of 132, what is the easy way of finding the answer",1,t,1,t=132*0.03,Multiplication,3.96
13,13,2.5% of what number is 2?,1,t,1,0.025*t=2,Multiplication,80.0
14,14,The forecast for tomorrow says that there is a 37% chance of rain. Describe the complimentary event and predict its probability.,1,x,1,x=1-0.37,Subtraction,0.63
15,15,"at the track meet, 80 students won ribbons. 48 of the ribbons were 1st place. What percent of the ribbons were 1st place?",1,x,1,x=48/80,Division,0.6
16,16,"When NH3 is prepared from 28 g N2 and excess H2, the theoretical yield of NH3 is 34 g. When this reaction is carried out in a given experiment, only 15 g is produced. What is the percentage yield? (Ignore significant figures for this problem.)",1,t,1,t=15/34,Division,0.4411764705882353
17,17,What is 224% OF 320?,1,n,1,n=2.240*320,Multiplication,716.8
18,18,20 is what percent of 25?,1,m,1,25*m=20,Multiplication,0.8
19,19,"Orange county had an estimated population of 883,308 in the 2000 Florida census. Pinellas county had an estimated population of 903,502. What is the difference in population between the two countries?",1,d,1,d=903502-883308,Subtraction,20194.0
20,20,How many vertics does a pentagonal prism have?,1,m,1,m=5*2,Multiplication,10.0
21,21,"27,000 x 9,000",1,x,1,x=27000*9000,Multiplication,243000000.0
22,22,"The area of a rectangle is 437 cm. If its length is 23 cm, what is its width?",1,m,1,23*m=437,Multiplication,19.0
