,question,operation
0,What is the sum of the distinct prime factors of 2007?,Addition
1,76 is 80% of what number?,Multiplication
2,9x3=?,Multiplication
3,"if an angle has the measure of 60 degrees, what is the measure of the supplement.?",Subtraction
4,"Samantha has a denim skirt and a flowered skirt. She has 3 different colored shirts that are red, pink and white. The probability that she will wear a flowered skirt is?",Division
5,find the area of a playground that is 20 m long and 15 m wide.,Multiplication
6,What percent of 8 is 20?,Multiplication
7,"like 3% of 132, what is the easy way of finding the answer",Multiplication
8,The forecast for tomorrow says that there is a 37% chance of rain. Describe the complimentary event and predict its probability.,Subtraction
9,What is 224% OF 320?,Multiplication
10,How many vertics does a pentagonal prism have?,Multiplication
11,"27,000 x 9,000",Multiplication
12,A standard deck of 52 cards is shuffled and one card is drawn and then replaced 15 times. How many times could you expect to draw a black card.,Multiplication
13,what's 2+2?,Addition
14,"The Quans planted a circular flower garder with a diameter of 2.3 m in their backyard, What length of fence, to the nearest tenth of a metre, is needed to completely surround the garden?",Multiplication
15,10 yards tall equals how many feet tall?,Multiplication
16,"n x 50 = 5,000",Multiplication
17,What is the volume of a regular n-gon prism with a base area of 4.3 m2 and a height of 3m?,Multiplication
18,"How do you figure out these kind of problems: Find the area of the entire circle given the area S of the sector. S= 9.5 m squared, one angle measure of the cirle is 90 degrees",Multiplication
19,Find: 41 out of 51 in percentage.,Division
20,What is 15% of 105?,Multiplication
21,Area of a circle with radius of 3m.,Multiplication
22,111 is what percent of 1725?,Division
23,"Jogging shoes are on sale for $9.99. They were $18.95 before the sale. When they went on sale, Ed bought 2 pairs od size 8 1/2, 1 pair of yellow and the other red and white. How much did he pay for the shoes?",Multiplication
24,"Jesse earned $37,800 one year and then received a 3.75% raise. How much did he make the next year?",Multiplication
25,what percent of 80 is 96?,Multiplication
26,What percent is 1 in a million?,Division
27,"A company's 2006 revenue totaled 17,574,428. It costs totaled 14,283,502. What was the company's profit in 2006?",Subtraction
28,"The probability that a new advertising campaign will increase sales is assessed as being 0.80. The probability that the cost of developing the new ad campaign can be kept within the original budget allocation is 0.40. Assuming that the two events are independent, find the probability that the cost is kept within budget and the campaign will increase.",Multiplication
29,what's 9 times 9? 81,Multiplication
30,how many feet are in 0.11 miles?,Multiplication
31,"Martha leaves home at 9 AM, bicycling at a rate of 24 miles per hour. Two hours later, john leaves, driving at a rate of 48 miles per hour. At what time will John catch up with Martha?",Multiplication
32,0.42 x6.8,Multiplication
33,"just working out a mathematical sum, am I right by saying the ratio of 240 is 12 or do I have to say it is 20.",Division
34,"7.2% of 878,360 and how do you read this number 63241.92????????????",Multiplication
35,"How do you find the height of a triangle with coordinates: X:(2, 1) Y:(5, 3) Z:(7, 1)",Subtraction
36,mary is 20.0 years old and peter is 26.8 years old their ages corrected to nearest 1/10 years . find the least difference between thir ages.,Subtraction
37,"what is the missing number in the series 4, 3, 5, 9, 12, 17 .?",Addition
38,what would 1.70 be as a percentage %17 or %170?,Multiplication
39,"The next number in the series 2, 5, 11, 20, 32, 47. what the next number in the series?",Addition
40,I need to know what 495.923 inches is when converted to feet?,Division
41,What's 3 divided by 4 1/5?,Division
42,what is the ratio of 447 to 2643?,Division
43,"What is 40% of $3,320, paid 40% of the balance?",Multiplication
44,Need to confirm logic number answer? | 1 | 2 | 3 | 4 | 5 | | 0 | 3 | 8 | 15 | ??,Addition
45,What is 20% 0f 20?,Multiplication
46,which number is the decimal form of 7/20? a:0.45 b:0.36 c:0.35 d:0.035,Division
47,"How much is 20% of $4,000?",Multiplication
48,Which fraction is equivalent to 25%? 5/6? 1/4? 3/4? 1/3?,Division
49,What Multiple of 7 is greater than 28 but less than 42?,Multiplication
50,"On a 100 question test, 60 questions involve algebra and 20 questions are difficult. if 8 of the difficult questions involve algebra, how many of the questions that are not difficult do not involve algebra?",Subtraction
51,What percent of 10 is 205?,Multiplication
52,9 is what percent of 72?,Division
53,"you have two squares of cardboard the same size and less than 30 cm side, one a grid with squares of 6cm side trace and the other a grid with squares of 8 cm side. what is the measure of the side squares of cardboard, if each grid fits exactly?",Multiplication
54,Rudy harvested 5 2/5 kilos of carrots and 3 2/3 kilos of okra. How many kilos of vegetables did rudy harvest?,Addition
55,"I have record like this 8.50 m then 8.10 , 8.40, 5.20,.2.10, 2.30 there sum is in decimal 35.40 but i want sum in h minute , what i do?",Multiplication
56,"If my granddad was 37 in 1958 when my dad was born, and my dad is 48 now, what year was my granddad born?",Subtraction
57,The lowest temperature on a winter morning was -8F. Later that same day the temperature reached a high of 24F. By how many degrees Fahrenheit did the temperature increase?,Addition
58,What is 64% of 20?,Multiplication
59,How do you turn 10 1/3% into a fraction?,Division
60,What is 0.27272727(continue forever) in a fraction and 0.123123123(continue forever)? and 0.533333(continue forever),Division
61,"Two friends leave Pittsburgh at the same time in separate cars. One car travels due east, while the other car travels due north. Both cars travel at 55 miles per hour. Each car has a CB radio with a talking range of 400 miles. In how many hours will they be too far apart to communicate on their radios?",Division
62,"write 20 3/8% as a decimal, write 819% as a decimal?",Division
63,square root question 5ö_25?,Multiplication
64,How many years ago since 2011?,Subtraction
65,find a pattern in a string of numbers to determine the next number in the sequence and filling in the blank 16 4 20 24 44?,Addition
66,How many feet is 65.3 inches?,Division
67,"If nC8 = nC7, find n",Subtraction
