,question,equations,operation,answers
0,76 is 80% of what number?,76=0.8*x,Multiplication,95.0
1,80% of what number is 33.6?,0.80*t=33.6,Multiplication,42.0
2,9x3=?,x=9*3,Multiplication,27.0
3,40% of a = 60,0.4*t=60,Multiplication,150.0
4,find the area of a playground that is 20 m long and 15 m wide.,x=20*15,Multiplication,300.0
5,Taru surveyed 60 dentists and found that 48 favored the use of flouride toothpaste. Write a ratio to compare the number of dentists favoring the use of a flouride toothpaste to all dentists surveyed.,x=48/60,Division,0.8
6,10 is 30% of what number?,10=x*0.3,Multiplication,33.333
7,What percent of 8 is 20?,8*t=20,Multiplication,2.5
8,"like 3% of 132, what is the easy way of finding the answer",t=132*0.03,Multiplication,3.96
9,2.5% of what number is 2?,0.025*t=2,Multiplication,80.0
10,What is 224% OF 320?,n=2.240*320,Multiplication,716.8
11,20 is what percent of 25?,25*m=20,Multiplication,0.8
12,"The area of a rectangle is 437 cm. If its length is 23 cm, what is its width?",23*m=437,Multiplication,19.0
13,A standard deck of 52 cards is shuffled and one card is drawn and then replaced 15 times. How many times could you expect to draw a black card.,n=15*0.500,Multiplication,7.5
14,what's 2+2?,n=2+2,Addition,4.0
15,30% of a number is 12,0.3*n=12,Multiplication,40.0
16,a trapezoid has an area of 72 and height of 9. what is its median,x=72/9,Division,8.0
17,whats 12 divided by 0.05?,x=12/0.05,Division,240.0
18,"james made birdhouses to sell at a arts and krafts shop. if james had to pay the shop 15% commission for each sale, how much did he pay the shop for each large bird house ? a large bird house : 7.00.",x=7*0.15,Multiplication,1.05
19,"How do you figure out these kind of problems: Find the area of the entire circle given the area S of the sector. S= 9.5 m squared, one angle measure of the cirle is 90 degrees",x=4*9.5,Multiplication,38.0
20,Find: 41 out of 51 in percentage.,x=41/51,Division,0.804
21,What is 15% of 105?,x=0.150*105,Multiplication,15.75
22,111 is what percent of 1725?,x=111/1725,Division,0.064
23,Find: 32 out of 38 in percentage.,x=32/38,Division,0.842
24,297 divided by 4 is about ?,x=297/4,Division,74.25
25,32 is 40% of what number?,0.400*x=32,Multiplication,80.0
26,what percent of 80 is 96?,80*x=96,Multiplication,1.2
27,If you have a product that is $178.00. What would 30% be?,x=178*0.300,Multiplication,53.4
28,"The probability that a new advertising campaign will increase sales is assessed as being 0.80. The probability that the cost of developing the new ad campaign can be kept within the original budget allocation is 0.40. Assuming that the two events are independent, find the probability that the cost is kept within budget and the campaign will increase.",x=0.8*0.4,Multiplication,0.32
29,what # is 92 % of 300,x=0.920*300,Multiplication,276.0
30,0.42 x6.8,0.42*6.8=z,Multiplication,2.856
31,What is the greatest common divisor of 118 and 116?,118-116=x,Subtraction,2.0
32,Joe earns $650 in May. In June he earns 20% more. How much does he earn?,x=1.20*650,Multiplication,780.0
33,I am trying to work out 20% of 520.,520*0.2=x,Multiplication,104.0
34,what is the ratio of 447 to 2643?,447/2643=x,Division,0.169
35,_________ is 35% of 60?,x=0.35*60,Multiplication,21.0
36,What percent of 10 is 205?,x*10=205,Multiplication,20.5
37,9 is what percent of 72?,9/72=x,Division,0.125
38,30 is 35% of what number?,30=0.35*z,Multiplication,85.7142857143
39,20% of c is 24. What is c?,0.2*z=24,Multiplication,120.0
40,The lowest temperature on a winter morning was -8F. Later that same day the temperature reached a high of 24F. By how many degrees Fahrenheit did the temperature increase?,z=(24+8),Addition,32.0
41,One kilometer is equal to 1000 meters. What fractional part of a kilometer is 700 meters?,700/1000=x,Division,0.7
42,What is 64% of 20?,0.64*20=x,Multiplication,12.8
43,"Two friends leave Pittsburgh at the same time in separate cars. One car travels due east, while the other car travels due north. Both cars travel at 55 miles per hour. Each car has a CB radio with a talking range of 400 miles. In how many hours will they be too far apart to communicate on their radios?",400/77.782=x,Division,5.14257797434
44,If I own 405 shares in a company and there is a total of 600 shares in the company what percentage do I hold.,405/600=x,Division,0.675
45,square root question 5√25?,5*5=y,Multiplication,25.0
46,what is 60 percent of 2500?,0.6*2500=x,Multiplication,1500.0
47,"If nC8 = nC7, find n",8=(y-7),Subtraction,15.0
48,what is 4 percent of 12 ounces?,12*0.04=x,Multiplication,0.48
49,"Solve: The perimeter of a square with a side length ""s"" is givien by the expression 4s. What is the perimeter of a square with sides of 7.5cm?",7.5*4=x,Multiplication,30.0
50,what percent is 200 out of 350?,200/350=x,Division,0.571428571429
51,what is 10% of 39.99?,0.1*39.99=x,Multiplication,3.999
52,What percent of 50 is 130?,50*x=130,Multiplication,2.6
53,what is 19/25 as a percent?,19/25=x,Division,0.76
54,If 65% of C is 39. what is C?,y=39/0.65,Division,60.0
55,A parallelogram has a height of 3 m and a base of 6 m. What is its area?,x=3*6,Multiplication,18.0
56,What's 20% of $450?,450*0.2=x,Multiplication,90.0
57,"if i worked 23 hours and make 7.50 an hour, how much would my check be?",7.5*(23)=n,Multiplication,172.5
58,what is the difference of 8 and 22?,22-8=x,Subtraction,14.0
59,"I got a 52 out of 60 on my last test, so what would my percent and letter grades be?",x=52/60,Division,0.866666666667
60,The kite shop buys a certain type of kite for 13 each and sells them for 15.60. What is the percent markup?,2.6/13=x,Division,0.2
61,A parallelogram has a base of 17 cm and a height of 6.5 cm. Find the area?,17*6.5=x,Multiplication,110.5
62,What is 7300 divided by 156?,7300/156=x,Division,46.7948717949
63,What is 20 percent of $75?,0.2*75=x,Multiplication,15.0
64,"a family has a budget for washing and drying your clothes $50 per week. If a washer and dryer costs $ 1500, how many weeks that budget are needed to equalize the cost of a washer and dryer?",y=1500/50,Division,30.0
65,How much is 120% of $68?,1.20*68.00=y,Multiplication,81.6
66,"The water level of a river was 3 ft above normal. After an unusually dry season, the water level is 6 ft below normal. Find the range of the water levels of the river.",3+6=x,Addition,9.0
67,Find the area of a parallelogram that is: 22 in. height 77 in. length,x=22*77,Multiplication,1694.0
68,What percentage is 225 of 265?,225/265=x,Division,0.849056603774
69,How do you convert a number into a percent if the question was to find 36% out of 25?,0.36*25=x,Multiplication,9.0
70,What percent of 16 is 12.,x*16=12,Multiplication,0.75
71,"Just say my balance is $256, how do i use the calculator to get 5% of this.",0.05*256=y,Multiplication,12.8
72,20% of what number is 10?,0.2*z=10,Multiplication,50.0
73,Add the absolute value of the two integers. Write the complete addition sentence and the answer. |-15|+|21|,15+21=x,Addition,36.0
74,An adult cat has a body mass of 3500 grams. It can eat up to 8% of its body mass in food each day. How many grams of food can the cat eat each day? Use estimation to justify that your answer is reasonable.,3500*0.08=x,Multiplication,280.0
75,20 is what % of 5000?,20=x*5000,Multiplication,0.004
76,55 is what percent of 220?,55/220=x,Division,0.25
77,3570 is 42% of what number?,3570=0.42*x,Multiplication,8500.0
78,What is 20% of 80?,(0.2)*(80)=y,Multiplication,16.0
79,4 is what percent of 50?,4/50=x,Division,0.08
80,Express 7/4 as a percent.,7/4=x,Division,1.75
81,What is the sum of 1 and 1?,x=1+1,Addition,2.0
82,"If f(x) = x + 2, find the value of x if f(x) = 12.",x+2=12,Addition,10.0
83,what percent of 54 is 135?,x*54=135,Multiplication,2.5
84,what is the answer to 30 divided by 8 as a fraction?,f=30/8,Division,3.75
85,20% of the number is 3. Find the number?,0.2*x=3,Multiplication,15.0
86,5 times a number equals 20what is the number?,5*n=20,Multiplication,4.0
87,15 is 25% of what number?,15=0.25*x,Multiplication,60.0
88,36 is 60% of what number?,36=0.6*x,Multiplication,60.0
89,what's 8% of 5.00?,x=0.08*5,Multiplication,0.4
90,what percent of 50 is 6?,x*50=6,Multiplication,0.12
91,What percent of 80 is 50?,x*80=50,Multiplication,0.625
92,Megan likes to jog around a duck pond near her house. The distance around the pond is 0.4 mi. How many laps around the pond are necessary to run 5 mi?,t=5/0.4,Division,12.5
93,"If 60 is 40% of a number, what is that number?",60=x*0.4,Multiplication,150.0
94,"A softball players batting average is the ratio of hits made to the number of times at bat. If Ann's batting average is 0.320, how many hits would she expect to get in 25 times at bat?",t/25=0.32,Division,8.0
95,how to solve 6% of 19.,x=0.06*19,Multiplication,1.14
96,14 is what percent of 84?,14=t*84,Multiplication,0.167
97,what percent of 240 is 60?,t*240=60,Multiplication,0.25
98,what is 15 percent of $49.99?,t=49.99*0.15,Multiplication,7.499
99,Find the distance traveled by driving at 55 miles per hour for 3 hours.,x=55*3,Multiplication,165.0
100,45 divided by 6 =?,x=45/6,Division,7.5
101,4 to the negative 2 power.,x=4^(-2),Subtraction,0.0625
102,"A survey asked cat owners, does you cat have bad breath? out of 200 owners 80 answered yes to this question. what percent of the cat owners answered yes?",x=80/200,Division,0.4
103,15 is what percent of 24?,15=t*24,Multiplication,0.625
104,Tim wants to put a rug in his room. The length of his room is 2 feet and the width of his room is 5 feet. How much rug will Tim need? Find the area.,t=2*5,Multiplication,10.0
105,"if 145 is 15% of the whole, what is the whole?",145=0.15*t,Multiplication,966.6666666666666
106,I have 37 grams total. I have 6% Thiamin how do I figure out the number of grams of thiamin?,t=37*0.06,Multiplication,2.22
107,"if jack ran at an average speed of 8.5 m/s for 13s, how far did he run ?",x=8.5*13,Multiplication,110.5
108,what 12% of 240 is?,t=240*0.12,Multiplication,28.8
109,10 pounds lost in 4 weeks. That is a ratio. How would you make it a rate?,t=10/4,Division,2.5
110,What is 24 divided by 8?,x=24/8,Division,3.0
111,30 is what percent of 150?,30=t*150,Multiplication,0.2
112,"The area of a rectangle is 2cm squared, If the length of the rectangleis 8cm, what is the width of the rectange?",8*t=2,Multiplication,0.25
113,At a rate if 7% what is the sales tax on a car priced at 9500?,t=9500*0.07,Multiplication,665.0
114,What is 14% of $25.99? (Rounded to the nearest cent)?,t=25.99*0.14,Multiplication,3.6386
115,I have a car that gives 16 mpg. Let x be the number of miles driven on 50 gallons of gas. I need to show both the set up of the proportion and the steps to solve. Including the units with my answer.,x/50=16,Division,800.0
116,what is 0.8 divided by 4?,x=0.8/4,Division,0.2
117,35% of what number is 500?,t*0.35=500,Multiplication,1428.57
118,Glenda has a $40 gift card to a cafe that sells her favourite tuna sandwich for $3.75 after tax. What are the possible numbers of tuna sandwiches can she buy with her gift card?,x=40/3.75,Division,10.667
119,the length and breadth of a lawn is 20m and 4.8m. what is the ratio of length to breadth?,x=20/4.8,Division,4.167
120,"Layla has to read 48 pages for her history class before the end of the week. So far, she has read 15 pages. What fraction has she read?",t=15/48,Division,0.3125
121,6 divided by 1824?,x=6/1824,Division,0.003
122,82 divided by 4?,x=82/4,Division,20.5
123,"How many miles are equal to 32,000 ft?",x=32000/5280,Division,6.061
124,"Tia wants to plant a garden that will attract butterflies. She decides to plant parsley, dill, and fennel to attract swallowtail butterflies; scarlet milkweed to attract monarch butterflies; and thistles for Painted Lady butterflies. If Tia's garden is 30 feet long, how many feet should it be in width so that the area is 600 square feet?",30*t=600,Multiplication,20.0
125,What is 15 over 100 reduced? then converted to a percent.,x=15/100,Division,0.15
126,"how many millilitres are in 1,211 litres?",x=1211*1000,Multiplication,1211000.0
127,The weekly milk order for the Tranquility Inn includes 40 gallons of low-fat milk and 15 gallons of chocolate milk. What is the ratio of the number of low-fat gallons to chocolate gallons in the Tranquility Inns weekly milk order?,x=40/15,Division,2.6666666666666665
128,"if i make 600 hundred dollars a month, how much would i make in 11 months",x=600*11,Multiplication,6600.0
129,what is 20 percent off of 59.99?,x=59.99*0.2,Multiplication,11.998
130,what is 2 plus 2?,x=2+2,Addition,4.0
131,24.5 is 35% of what number?,24.5=0.35*t,Multiplication,70.0
132,Uncle Smith bought a shirt at 45% off. He saved $11.70. What was the sale price of the shirt?,m*0.45=11.7,Multiplication,26.0
133,"If a class collects $155 toward a fundraising goal of $775, what fraction represents the class's progress toward its goal?",f=155/775,Division,0.2
134,If Lana sells a stereo for $735.00 and makes $27 commission. What percentage commission does Lana get paid?,m=27/735,Division,0.0367
135,Solve X + 25 = 36,x+25=36,Addition,11.0
136,Water moves past a 10cm board in 1.3 seconds. How far the water will travel in a second.,t=10/1.3,Division,7.692
137,A craftsman makes miniature replicas of Victorian furniture. The scale model of a table that he made is 3 inches long. The full-size table is 36 inches long. What is the models scale?,s=3/36,Division,0.08333333333333333
138,What percent of 250 is 128?,250*x=128,Multiplication,0.512
139,"Chris is saving money for a ski trip. He has $62.50, but his goal is to save at least $100. What is the least amount Chris needs to save to reach his goal?",m=100-62.5,Subtraction,37.5
140,0.9% of 116,x=0.009*116,Multiplication,1.004
