question,operation,answer,equation
Mrs. Hilt read 4 books and sold out 33 notebooks . Each book had 17 chapters in it . How many chapters did Mrs. Hilt read ?,Multiplication,68,X=4.0*17.0
Hayley had 25 handmade meatballs and 26 machined meatballs on her plate . Kirsten stole some of her handmade meatballs . Now she has 11 handmade meatballs on her plate . How many handmade meatballs did Kirsten steal ?,Subtraction,14,X=25.0-11.0
Cindy's mom baked 41 heart-shaped cookies . Paul's dad baked 38 heart-shaped cookies . Ron bakes 2 cakes . They both brought them to school for a party . How many heart-shaped cookies did they have altogether ?,Addition,79,X=41.0+38.0
Mary bought 5.91 tons of gravel and 8.11 tons of sand . Kevin had 0.3 tons of sand . How many tons of material did Mary buy in all ?,Addition,14.02,X = 5.91 + 8.11
There were 150 book shelves . Each book shelf had 15 books . Cathy sold out 20 books . How many books were on the shelves ?,Multiplication,2250,X=150.0*15.0
"Sue made 75 cookies . She put the cookies in bags , with 3 cookies in each bag . Sandy spent 20 cents for each cookie . How many bags could she fill up ?",CommonDiv,25,X=75.0/3.0
Isabel bought 900 thin pieces of paper and 300 heavy pieces of paper . She used 156 thin pieces of the paper . How many thin pieces of paper does Isabel have left ?,Subtraction,744,X=900.0-156.0
Marcus has 210 baseball cards . He has 58 more than Carter . Peggie buys 12 books . How many baseball cards does Carter have ?,Subtraction,152,X=210.0-58.0
2 yellow toucans and 4 red toucans are sitting on a tree limb . 3 more yellow toucan joins them . How many yellow toucans in all ?,Addition,5,X=2.0+3.0
Harold has 53 white marbles . He gets 16 more white marbles from Steve . Rachel buys 21 marbles . How many white marbles does Harold have in all ?,Addition,69,X=53.0+16.0
Mrs. Wong had 30 red Valentines and 20 pink Valentines . She gave 8 red Valentines to her children . How many red Valentines does Mrs. Wong have left ?,Subtraction,22,X=30.0-8.0
Mrs. Sheridan has 17 Persian cats . Mr. Sheridan gave her 14 more Persian cats . Robin has 3 dogs . How many Persian cats does Mrs. Sheridan have altogether ?,Addition,31,X=17.0+14.0
Wendy makes 3 cakes . The clown blew up 47 blue balloons . Then he blew up 13 more blue balloons . How many blue balloons does the clown have now ?,Addition,60,X=47.0+13.0
"Dan has 64 violet marbles , he gave Mary 14 of the marbles . Cindy also has 8 violet marbles . How many violet marbles does he now have ?",Subtraction,50,X = 64 - 14
Edward starts with 92 small eggs . He gives 40 small eggs to Phillip . Judy has 10 eggs . How many small eggs does Edward end with ?,Subtraction,52,X=92.0-40.0
"Shelby's teacher gives out gold stars for great math work . Yesterday , Shelby earned 4 gold stars . Today , she earned 3 more . Dan was assigned 5 assignments . How many gold stars did Shelby earn in all ?",Addition,7,X=4.0+3.0
Denise removes 5 yellow bananas from a jar . There were originally 46 yellow bananas in the jar . Jorge bought 15 apples . How many yellow bananas are left in the jar ?,Subtraction,41,X=46.0-5.0
