,question,operation
0,Joan found 545 seashells on the beach . she gave Sam some of her seashells . She has 459 seashell . How many seashells did she give to Sam ?,Subtraction
1,There were 83 bales of hay in the barn . Tim stacked bales in the barn today . There are now 801 bales of hay in the barn . How many bales did he store in the barn ?,Subtraction
2,There were 126 roses in the vase . Mary cut some roses from her flower garden . There are now 227 roses in the vase . How many roses did she cut ?,Subtraction
3,Sam had 143 dimes in his bank . His dad gave him 577 dimes . How many dimes does Sam have now ?,Addition
4,Alyssa 's dog had puppies . She gave 782 to her friends . She now has 189 puppies . How many puppies did she have to start with ?,Addition
5,A restaurant served 108 pizzas during lunch and 459 during dinner today . How many pizzas were served today ?,Addition
6,Sandy grew 149 carrots . Sam grew 193 carrots . How many carrots did they grow in total ?,Addition
7,Benny picked 278 apples and Dan picked 535 apples from the apple tree . How many apples were picked in total ?,Addition
8,Sam found 152 seashells and Mary found 349 seashells on the beach . How many seashells did they find together ?,Addition
9,Sara picked 338 pears and Sally picked 865 pears from the pear tree . How many pears were picked in total ?,Addition
10,"Fred went to 915 basketball games this year , but missed 536 . He went to num games last year . How many basketball games did Fred go to in total ?",Addition
11,There are 932 pencils and 69 crayons in the drawer . Joan placed num pencils in the drawer . How many pencils are now there in total ?,Addition
12,Joan has 264 blue balloons Melanie has 73 blue balloons . How many blue balloons do they have in total ?,Addition
13,Mary found 889 seashells and Jessica found 306 seashells on the beach . How many seashells did they find together ?,Addition
14,A restaurant served 440 cakes during lunch and 658 during dinner today . How many cakes were served today ?,Addition
15,Mike has 802 baseball cards . Sam bought 148 of Mike 's baseball cards . How many baseball cards does Mike have now ?,Subtraction
16,There are 481 popular trees currently in the park . Park workers will plant 557 popular trees today . How many popular trees will the park have when the workers are finished ?,Addition
17,There are 838 scissors in the drawer . Keith placed 716 scissors in the drawer . How many scissors are now there in all ?,Addition
18,There are 682 walnut trees currently in the park . Park workers will plant 118 walnut trees today . How many walnut trees will the park have when the workers are finished ?,Addition
19,There are 974 pencils in the drawer . Sara placed 1 pencils in the drawer . How many pencils are now there in all ?,Addition
20,"Mike has 653 orange marbles , he gave Sam 685 of the marbles . How many orange marbles does he now have ?",Subtraction
21,"Sam grew 35 watermelons , but the rabbits ate 537 watermelons . How many watermelons does Sam have ?",Subtraction
22,Mary has 511 yellow marbles Joan has 394 yellow marbles . How many yellow marbles do they have in all ?,Addition
23,Mary had 604 potatoes in the garden . The rabbits ate 906 of the potatoes . How many potatoes does Mary now have ?,Subtraction
24,Jessica had 12 quarters in her bank . Her sister borrowed 304 of her quarters . How many quarters does Jessica have now ?,Subtraction
25,Dan picked 37 limes and gave Sara 589 of the limes . How many limes does Dan have now ?,Subtraction
26,"Fred found 841 seashells on the beach , he gave Jessica 944 of the seashells . How many seashells does he now have ?",Subtraction
27,There are 971 rulers in the drawer . Tim took 590 rulers from the drawer . How many rulers are now in the drawer ?,Subtraction
28,Sara got fast food for lunch . Sara spent $ 756 on a hotdog and $ 623 on a salad . What was the total of the lunch bill ?,Addition
29,"Jason went to the mall on Saturday to buy clothes . He spent $ 683 on shorts and $ 903 on a jacket . In total , how much money did Jason spend on clothing ?",Addition
30,"Alyssa loves eating fruits . Alyssa paid $ 37 for grapes , and $ 41 for cherries . In total , how much money did Alyssa spend ?",Addition
31,"There were originally 628 houses in Lincoln County . During a housing boom , developers built 523 . How many houses are there now in Lincoln County ?",Addition
32,"Last year , 659 people were born in a country , and 412 people immigrated to it . How many new people began living in the country last year ?",Addition
33,"To fill an order , the factory dyed 382 yards of silk green and 247 yards pink . How many yards of silk did it dye for that order ?",Addition
34,"Tori is a school janitor . Last week , she picked up a total of 574 pieces of trash . If she picked up 621 pieces of trash in the classrooms , how many pieces of trash did Tori pick up outside the classrooms ?",Subtraction
35,"Molly owns the Wafting Pie Company . This morning , her employees used 792 eggs to bake pumpkin pies . If her employees used a total of 500 eggs today , how many eggs did they use in the afternoon ?",Subtraction
36,"Students at Arcadia schools are participating in a coat drive . 258 coats have been collected so far . 119 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?",Subtraction
37,"A company painted some houses in Hancock County white and blue using a total of 40 gallons of paint . If they used 586 gallons of white paint , how many gallons of blue paint did the company use ?",Subtraction
38,"Last year , egg producers in Douglas County produced 769 eggs . This year , those same farms produced 38 eggs . How many more eggs did the farms produce this year ?",Subtraction
39,"An oil pipe in the sea broke . Before engineers started to fix the pipe , 247 gallons of oil leaked into the water . A total of 63 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",Subtraction
40,Oscar 's bus ride to school is 132 mile and Charlie 's bus ride is 121 mile . How much longer is Oscar 's bus ride than Charlie 's ?,Subtraction
41,"Kendall is learning to drive , so this weekend she practiced driving 560 mile with her mother and another 525 mile with her father . How far did Kendall drive in all ?",Addition
42,A tailor cut 823 inch off a skirt and 282 inch off a pair of pants . How much more did the tailor cut off the skirt than the pants ?,Subtraction
43,"Ella owns 324 dogs . Each day , 271 dog eats num scoop of dog food and the other dog eats num scoop . Together , how much dog food do the num dogs eat each day ?",Addition
44,"At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was 250 foot tall and her sister 's was 189 foot tall . How much taller was Miki 's sandcastle than her sister 's ?",Subtraction
45,Craig walked 385 mile from school to David 's house and 792 mile from David 's house to his own house . How many miles did Craig walk in all ?,Addition
46,Greg and Sharon own neighboring cornfields . Greg harvested 855 acre of corn on Monday and Sharon harvested 786 acre . How many more acres did Greg harvest than Sharon ?,Subtraction
47,"While making desserts for a bake sale , Victor used 466 scoop of brown sugar as well as 1000 scoop of white sugar . How much more brown sugar did Victor use ?",Subtraction
48,Kelly 's chemistry textbook weighs 510 pounds and her geometry textbook weighs 458 pound . How much more does the chemistry textbook weigh than the geometry textbook ?,Subtraction
49,Roadster 's Paving Company used 368 tons of cement to pave Lexi 's street and 207 tons of cement to pave Tess 's street . How much cement did Roadster 's Paving Company use in all ?,Addition
50,Kyle jogged 613 laps in P.E. class and 624 laps during track practice . How many laps did Kyle jog in all ?,Addition
51,"Hoping to be named Salesperson of the Month , Rosa called the names from 232 pages of the phone book last week . This week , she called the people listed on another 962 pages of the same phone book . How many pages worth of people did Rosa call in all ?",Addition
52,Irene just bought a new lamp for her bedside table . The old lamp was 546 foot tall and the new lamp is 127num feet tall . How much taller is the new lamp than the old lamp ?,Subtraction
53,Kenji and his classmates placed colored blocks on a scale during a science lab . The yellow block weighed 436 pounds and the green block weighed 329 pounds . How much more did the yellow block weigh than the green block ?,Subtraction
54,A carpenter bought a piece of wood that was 437 meters long . Then she sawed 645 meters off the end . How long is the piece of wood now ?,Subtraction
